,assigned_cell_type
JW18DOX221117-1,Unknown
JW18DOX221117-2,Unknown
JW18DOX221117-3,Unknown
JW18DOX221117-4,Unknown
JW18DOX221117-5,Unknown
JW18DOX221117-6,Unknown
JW18wMel221117-1,Unknown
JW18wMel221117-2,Unknown
JW18wMel221117-3,Unknown
JW18wMel221117-4,Unknown
JW18wMel221117-5,Unknown
JW18wMel221117-6,Unknown
S2DOX221117-1,Unknown
S2DOX221117-2,Unknown
S2DOX221117-3,Unknown
S2DOX221117-4,Unknown
S2DOX221117-5,Unknown
S2DOX221117-6,Unknown
S2wMel221117-1,Unknown
S2wMel221117-2,Unknown
S2wMel221117-3,Unknown
S2wMel221117-4,Unknown
S2wMel221117-5,Unknown
S2wMel221117-6,Unknown
