source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:BP,GO:0048790,maintenance of presynaptic active zone structure,0.0017244283364697922,True,"""A process which maintains the organization and the arrangement of proteins at the active zone to ensure the fusion and docking of vesicles and the release of neurotransmitters."" [GOC:curators, GOC:dph, GOC:pr]",11,4,2,11686,0.5,0.18181818181818182,query_1,"['GO:0099558', 'GO:1990709']"
GO:BP,GO:0099558,maintenance of synapse structure,0.002444994526328049,True,"""A process that preserves the structural organistation and orientation of a synaptic cellular component such as the synaptic cytoskeleton and molecular scaffolds."" [GOC:dos, PMID:24449494, PMID:25611509]",13,4,2,11686,0.5,0.15384615384615385,query_1,"['GO:0034331', 'GO:0050808']"
GO:BP,GO:1990709,presynaptic active zone organization,0.004793213172286032,True,"""A process that results in the assembly, arrangement of constituent parts, or disassembly of a presynaptic active zone."" [GOC:pr, PMID:16865347, PMID:17068967]",18,4,2,11686,0.5,0.1111111111111111,query_1,"['GO:0016043', 'GO:0050808']"
GO:BP,GO:0034331,cell junction maintenance,0.00723350637362055,True,"""The organization process that preserves a cell junction in a stable functional or structural state. A cell junction is a specialized region of connection between two cells or between a cell and the extracellular matrix."" [GOC:dph, GOC:jl, GOC:mah]",22,4,2,11686,0.5,0.09090909090909091,query_1,"['GO:0034330', 'GO:0043954']"
GO:BP,GO:0043954,cellular component maintenance,0.009390945036611264,True,"""The organization process that preserves a cellular component in a stable functional or structural state."" [GOC:dph, GOC:jl, GOC:mah]",25,4,2,11686,0.5,0.08,query_1,['GO:0016043']
GO:BP,GO:0007409,axonogenesis,0.033236603154486434,True,"""De novo generation of a long process of a neuron, including the terminal branched region. Refers to the morphogenesis or creation of shape or form of the developing axon, which carries efferent (outgoing) action potentials from the cell body towards target cells."" [GOC:dph, GOC:jid, GOC:pg, GOC:pr, ISBN:0198506732]",337,4,3,11686,0.75,0.008902077151335312,query_1,"['GO:0048667', 'GO:0048812', 'GO:0061564']"
GO:BP,GO:0061564,axon development,0.03915097634086048,True,"""The progression of an axon over time. Covers axonogenesis (de novo generation of an axon) and axon regeneration (regrowth), as well as processes pertaining to the progression of the axon over time (fasciculation and defasciculation)."" [GOC:dph, GOC:pg, GOC:pr]",356,4,3,11686,0.75,0.008426966292134831,query_1,['GO:0031175']
GO:BP,GO:0048589,developmental growth,0.044639867410539616,True,"""The increase in size or mass of an entire organism, a part of an organism or a cell, where the increase in size or mass has the specific outcome of the progression of the organism over time from one condition to another."" [GOC:go_curators]",372,4,3,11686,0.75,0.008064516129032258,query_1,"['GO:0032502', 'GO:0040007']"
GO:BP,GO:0048675,axon extension,0.04464652848177941,True,"""Long distance growth of a single axon process involved in cellular development."" [GOC:BHF, GOC:dgh, GOC:dph, GOC:jid, GOC:lm, GOC:rl]",54,4,2,11686,0.5,0.037037037037037035,query_1,"['GO:0007409', 'GO:1990138']"
GO:BP,GO:1990138,neuron projection extension,0.04977736074889721,True,"""Long distance growth of a single neuron projection involved in cellular development. A neuron projection is a prolongation or process extending from a nerve cell, e.g. an axon or dendrite."" [GOC:BHF, GOC:rl, PMID:22790009]",57,4,2,11686,0.5,0.03508771929824561,query_1,"['GO:0048588', 'GO:0048812', 'GO:0060560']"
