,cell_type
JW18DOX221117-1,maternal
JW18DOX221117-2,maternal
JW18DOX221117-3,maternal
JW18DOX221117-4,maternal
JW18DOX221117-5,maternal
JW18DOX221117-6,maternal
JW18wMel221117-1,maternal
JW18wMel221117-2,maternal
JW18wMel221117-3,maternal
JW18wMel221117-4,maternal
JW18wMel221117-5,maternal
JW18wMel221117-6,maternal
S2DOX221117-1,maternal
S2DOX221117-2,maternal
S2DOX221117-3,maternal
S2DOX221117-4,maternal
S2DOX221117-5,maternal
S2DOX221117-6,maternal
S2wMel221117-1,maternal
S2wMel221117-2,maternal
S2wMel221117-3,maternal
S2wMel221117-4,maternal
S2wMel221117-5,maternal
S2wMel221117-6,maternal
