,CC,GST-rich,LM,PH,PM
JW18DOX221117-1,0.27101324731915616,0.0015250717663168791,0.5764498737171331,0.0,0.0
JW18DOX221117-2,0.26970846460010484,0.0009089966443934866,0.5768058840722811,0.0,0.0
JW18DOX221117-3,0.27205085562659465,0.0010077153552271103,0.574270128241396,0.0,0.0
JW18DOX221117-4,0.2724538638782601,0.0008496054285512489,0.5779372349177512,0.0,0.0
JW18DOX221117-5,0.2724823289457398,0.0008866134641573048,0.5764362719145701,0.0,0.0
JW18DOX221117-6,0.26225856498777866,0.001240560417010847,0.5908713103219907,0.0,0.0
JW18wMel221117-1,0.27483536323180147,0.0,0.5921593970899915,0.0,0.0
JW18wMel221117-2,0.28253282639763166,0.0,0.5862759219378744,0.0,0.0
JW18wMel221117-3,0.281579071201279,0.0,0.5887487152643958,0.0,0.0
JW18wMel221117-4,0.27994398575253193,0.0,0.5876819054859764,0.0,0.0
JW18wMel221117-5,0.27628199915728363,0.0,0.5913453116587996,0.0,0.0
JW18wMel221117-6,0.27716039478547216,0.0,0.591138531059178,0.0,0.0
S2DOX221117-1,0.3087826888374402,0.0,0.6076605715734886,0.0,0.0
S2DOX221117-2,0.3108302778315681,0.0,0.6081097940121951,0.0,0.0
S2DOX221117-3,0.3128546951934736,0.0,0.6052070114477359,0.0,0.0
S2DOX221117-4,0.312709387620703,0.0,0.6044841350989035,0.0,0.0
S2DOX221117-5,0.3088156773506577,0.0,0.6083148250559419,0.0,0.0
S2DOX221117-6,0.30794231841192293,0.0,0.608045236877218,0.0,0.0
S2wMel221117-1,0.31909352384782624,0.0,0.5998217257399928,0.0,0.0
S2wMel221117-2,0.3166278310186586,0.0,0.6020319553108306,0.0,0.0
S2wMel221117-3,0.3117560044696831,0.0,0.6086143032383289,0.0,0.0
S2wMel221117-4,0.3149595107721178,0.0,0.6069025563272559,0.0,0.0
S2wMel221117-5,0.31110625371135686,0.0,0.6082647372920444,0.0,0.0
S2wMel221117-6,0.31719098374054916,0.0,0.6047069724180978,0.0,0.0
